id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
16964,NORDDEUTSCHER LLOYD BREMEN,SUPPER,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN ONLY; ILLUSTRATION OF ROCKYSHORE; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1734,1901-06-22T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,13
16965,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF SHIP AND MARINE SUPPLES; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1739,1901-06-23T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,62
16966,NORDDEUTSCHER LLOYD BREMEN,MIDDAY MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN ONLY; ILLUSTRATION OF SHIP AND ROCKY SHORE; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1740,1901-06-23T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,11
16967,NORDDEUTSCHER LLOYD BREMEN,SUPPER,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN ONLY; ILLUSTRATION OF SHIP AND ROCKY SHORE; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1741,1901-06-23T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,11
16968,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,FOLDER; ILLUS; COL; 4.75 X 7;,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF SHIP; MUSICAL PROGRAM;,1901-2003,1901-07-22T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,24
16969,HOTEL CHAMPLAIN,BREAKFAST,COMMERCIAL,"CLINTON COUNTY, NY",BROADSIDE; ILLUS; COL; 5 X 7;,NONE,,1901-2144,1901-08-12T00:00:00Z,HOTEL CHAMPLAIN,,,COMPLETE,2,46
16971,TATLER'S HOTEL,BREAKFAST,COMMERCIAL,"ELLICOTT SQUARE,BUFFALO,[NY?]",CARD; ILLUS; COL; 6 X 8,DAILY;,BUILDINGS;,1901-1897,1901-07-07T00:00:00Z,STATLER'S HOTEL AND RESTAURANT,,,COMPLETE,2,22
16972,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS SIERRA,CARD;ILLUS;COL;5.5X7;,DAILY;,FLAG; HANDWRITTEN AND DUPLICATED; 1901 WRITTEN IN PENCIL;,1901-1900,1901-07-07T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,18
16973,HAMBURG-AMERIKA LINIE,BREAKFAST,COMMERCIAL,SS FURST BISMARCK,FOLDER; ILLUS; COL; 4.25X6.25;,DAILY;,MENU IN GERMAN AND ENGLISH; EMBLEM ON BACK COVER;,1901-1901,1901-07-08T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,67
16974,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD; ILLUS; COL; 5X8;,DAILY;,SHIP AT SEA; WOMAN HOLDING SHIELD AMONG FOOD AND IMPLEMENTS; CITYSCAPE IN BACKGROUND; MENU IN GERMAN AND ENGLISH;,1901-1902,1901-07-08T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,26
16975,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD; ILLUS; COL; 5X8;,DAILY;,SHIP AT SEA; WOMAN HOLDING SHIELD AMONG FOOD AND IMPLEMENTS; CITYSCAPE IN BACKGROUND; MENU IN GERMAN;,1901-1903,1901-07-08T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,12
16976,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,SS FURST BISMARCK,FOLDER; ILLUS; COL; 4.5X7;,DAILY;,PASSENGERS ON DECK WITH LUGGAGE; MENU IN GERMAN AND ENGLISH; MUSICAL PROGRAM;,1901-1904,1901-07-08T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,24
16977,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",CARD;ILL;COL;5.5X8;,DAILY;,"SHIPS IN HARBOR,FOOD AND UTENSILS; MENUS SEPARATE IN GERMAN AND ENGLISH; MAY BE USED AS POSTCARD;",1901-1905,1901-07-08T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,66
16978,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5.5 X 8.25;,DAILY;,PASSENGERS ON DECK; MENU IN GERMAN; MAY BE USED AS POSTCARD;,1901-1906,1901-07-08T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,12
16979,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5.5 X 8.25;,DAILY;,PASSENGERS ON DECK; MENU IN GERMAN AND ENGLISH; MAY BE USED AS POSTCARD;,1901-1907,1901-07-08T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,54
16980,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5.5 X 8.25;,DAILY;,SHIP AT SEA; MENU IN GERMAN ; MAY BE USED AS POSTCARD;,1901-1908,1901-07-08T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,13
16981,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS SIERRA,CARD;ILLUS;COL;5.5X7;,DAILY;,FLAG;HANDWRITTEN AND DUPLICATED;,1901-1910,1901-07-08T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,35
16982,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS SIERRA,CARD; ILLUS; COL; 5.5X8;,DAILY;,FLAG;HANDWRITTEN AND DUPLICATED;,1901-1911,1901-07-08T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,28
16983,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,NONE,STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1694,1901-06-20T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,35
16984,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTATION OF SHIP AND SEAFOOD; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1695,1901-06-20T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,68
16985,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTATION OF SCHULSCHIFFSHIP HERZOGIN SOPHIE CHARLOTTE; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1696,1901-06-20T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,63
16986,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,FOLDER; ILLUS; COL; 5.25X7.5;,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTATION OF SHIP AND WOMAN IN CLASSICAL DRESS; MUSICAL PROGRAM,1901-1697,1901-06-20T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,4,34
16987,NORDDEUTSCHER LLOYD BREMEN,MITAGESSEN,COMMERCIAL,EN ROUTE ABOARD DAMPFER FRIEDRICH DER GROSSE,CARD; ILLUS; COL; 5.25 X 8.25,NONE,MENU IN GERMAN ONLY; ILLUSTATION OF SAILING SHIP AND MOUNTAIN; BACK OF MENU IMPRINTED FOR USE AS POSTCARD;,1901-1698,1901-06-20T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,11
16988,NORDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,CARD; COL; ILLUS; 5.5 X 8;,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF SAILING SHIP AND ROCKY SHORE; BACK OF MENU IMPRINTED FOR USE AS A POSTCARD;,1901-1936,1901-07-10T00:00:00Z,NORDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,62
16989,NORDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,CARD; COL; ILLUS; 5.5 X 8;,NONE,"MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF SHIP, FOOD, AND ANGELS AND CHERUBS; BACK OF MENU IMPRINTED FOR USE AS A POSTCARD;",1901-1937,1901-07-10T00:00:00Z,NORDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,56
16991,NORDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,FOLDER; COL; ILLUS; 5.5 X 7.5,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF FRIEDRICH DER GROSSE(?); MUSICAL PROGRAM;,1901-1940,1901-07-11T00:00:00Z,NORDEUTSCHER LLOYD BREMEN,,,COMPLETE,4,42
16993,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD; ILLUS; COL; 5X8;,DAILY;,SHIP AT SEA;WOMAN HOLDING SHIELD AMONG FOOD AND IMPLEMENTS;CITYSCAPE IN BACKGROUND;MENU IN GERMAN;,1901-1768,1901-06-25T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,10
16994,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD; ILLUS; COL; 5X8;,DAILY;,SHIP AT SEA;WOMAN HOLDING SHIELD AMONG FOOD AND IMPLEMENTS;CITYSCAPE IN BACKGROUND;MENU IN GERMAN AND ENGLISH;,1901-1769,1901-06-25T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,24
16995,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS SONOMA,CARD;ILLUS;COL;5.5X7;,DAILY;,FLAG;HOURS;ONE BUGLE CALL,1901-1770,1901-06-25T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,30
16996,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS SONOMA,CARD;ILLUS;COL;5.5X7;,DAILY;,FLAG;HOURS;ONE BUGLE CALL;,1901-1771,1901-06-25T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,36
16997,OCEANIC STEAMSHIP COMPANY,LUNCH SECOND CABIN,COMMERCIAL,SS SONOMA,CARD;ILLUS;COL;5.5X7;,DAILY;,FLAG;,1901-1772,1901-06-25T00:00:00Z,OCEANIC STEAMSHIP COMPANY,,,COMPLETE,2,28
16998,SONS OF THE REVOLUTION,WASHINGTON'S BIRTHDAY,PATR,"DELMONICO'S, NY",BOOKLET; ILLUS; COL; 5.75X7.5;,PATRIOTIC HOLIDAY;,"TOASTS; BEAUTIFULLY ENGRAVED PORTRAIT OF WASHINGTON, ALSO ENGRAVED SKETCHES OF MOUNT VERNON, ANCESTRAL HOME IN ENGLAND, MANOR HOUSE IN SULGRAVE AND CHURCHES IN SULGRAVE; SEAL ON COVER; SILK CORD ATTACHMENT;",1900-2039,1900-02-22T00:00:00Z,SONS OF THE REVOLUTION,,,COMPLETE,16,20
16999,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",BROADSIDE; ILLUS; COL; 5 X 8;,NONE,"GERMAN & ENGLISH; MARITIME, MYTHICAL, FOOD SKETCHES WITH GOLD BORDER;",1900-2041,1900-02-22T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,16
17000,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 4.75X7.5;,NONE,A LA CARTE PRICED MENU; GOLD SEAL AT TOP OF MENU;,1900-2051,1900-02-22T00:00:00Z,HOTEL MARIE ANTOINETTE,Dollars,$,COMPLETE,2,82
17002,R.M.S. OCEANIC,BREAKFAST,COMMERCIAL,EN ROUTE,CARD; ILLUS; 3.5 X 5.75;,NONE,SMALL FLAG LOGO;,1900-2060,1900-02-23T00:00:00Z,R.M.S. OCEANIC,,,COMPLETE,2,25
17006,HOTEL MARIE ANTOINETTE,DINNER,COMMERCIAL,"66TH ST AND BROADWAY, NEW YORK, NY",CARD;ILL;COL;6.5X8.75;,DAILY;,,1900-2110,1900-02-24T00:00:00Z,HOTEL MARIE ANTOINETTE,Dollars,$,COMPLETE,2,122
17007,RED STAR LINE,BREAKFAST,COMMERCIAL,RMS OCEANIC,CARD;ILL;COL;3.25X5;,DAILY;,RED FLAG WITH WHITE STAR ON TOP CENTER;MONOGRAM;,1900-2113,1900-02-25T00:00:00Z,RED STAR LINE,,,COMPLETE,2,24
17008,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,"66TH ST AND BROADWAY, NEW YORK, NY",CARD;ILL;COL;4.5X7.5;,DAILY;,,1900-2115,1900-02-25T00:00:00Z,HOTEL MARIE ANTOINETTE,Dollars,$,COMPLETE,2,83
17009,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS CAMPANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,RED FLAG WITH LION ON TOP LEFT;PRICED WINE LIST ON BACK OF CARD,1900-2117,1900-02-25T00:00:00Z,CUNARD LINE,Shillings,s,COMPLETE,2,88
17010,U.S.M.S.,BREAKFAST,NAV,"ST. LOUIS""",CARD;ILLUS;COL;4X6.25;,NONE,FLAG AT TOP OF MENU;,1900-1097,1900-02-15T00:00:00Z,U.S.M.S.,,,COMPLETE,2,30
17012,HAMBURG AMERIKA LINIE,FRUHSTUCK/LUNCH,COMMERCIAL,SCHNELLDAMPFER (EXPRESS STEAMER) AUGUST VICTORIA,CARD; ILLUS; COLOR; 5.0X8.0;,NONE,"ILLUS, GODDESS WITH SWORD IN RIGHT HAND, SHIELD WITH ""H.A.P.A.G.""; CASTLES IN BACKGROUND; TRAY WITH FRUIT, GRAPES, WINE JUB AND GLASS IN FOREGROUND; IN CARTOUCHE, STEAMSHIP;",1900-2366,1900-03-10T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,28
17013,CUNARD LINE,BREAKFAST,COM,R. M. S. ETRURIA,CARD; ILLUS; COL; 4.5X6.75,NONE,"ILLUS, RED FLAG WITH LION HOLDING WORLD GLOBE; PRICED WINE LIST;",1900-2368,1900-03-10T00:00:00Z,CUNARD LINE,,,COMPLETE,2,94
17014,HAMBURG AMERIKA LINIE,FRUHSTUCK/LUNCH,COMMERCIAL,SCHNELLDAMPFER (EXPRESS STEAMER) AUGUST VICTORIA,FOLDER; ILLUS; COLOR; 5.0X8.0;,NONE,"ILLUS, PORT OF SMYRNA;",1900-2371,1900-03-10T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,32
17015,HAMBURG AMERIKA LINIE,DINNER,COMMERCIAL,SCHNELLDAMPFER (EXPRESS STEAMER) AUGUST VICTORIA,FOLDER; ILLUS; COLOR; 5.0X8.0;,NONE,"ILLUS, ATHENS; MUSIK PROGRAM;",1900-2374,1900-03-11T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,28
17016,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",BROADSIDE; ILLUS; COL; 5 X 8;,NONE,"GERMAN & ENGLISH;ILLUSTRATION OF STEAMSHIP, FOODS, FRUITS, VINES, GODDESS;",1900-2566,1900-03-25T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,2,16
17017,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",BROADSHEET; ILLUS; COL; 9X7;,NONE,"GERMAN & ENGLISH; MARITIME ILLUSTRATION; INCLUDES ""CONCERT-PROGRAMM;""",1900-2567,1900-03-25T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,28
17018,MILLS HOTEL RESTAURANT,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",BROADSHEET; 3.5X6;,NONE,"""REGULAR BREAKFAST, 15C; REGULAR DINNER, 15C; 2L MEAL TICKETS FOR $3.00;""",1900-2573,1900-03-25T00:00:00Z,MILLS HOTEL RESTAURANT,,,COMPLETE,2,51
17021,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPFER (EXPRESS STEAMER) AUGUSTE VICTORIA,CARD; COL; ILLUS; 9 X 7;,NONE,MENU IN GERMAN AND ENGLISH; MUSICAL PROGRAM; ILLUSTATION OF WOMEN AND CHILDREN IN SALON;,1900-2577,1900-03-25T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,28
17022,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPFER (EXPRESS STEAMER) AUGUSTE VICTORIA,CARD; COL; ILLUS; 9 X 7;,NONE,MENU IN GERMAN AND ENGLISH; MUSICAL PROGRAM; ILLUSTATION OF GENOA;,1900-2578,1900-03-23T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,24
17023,HOTEL DES TEMPLES,DINNER,COMMERCIAL,GIRGENTI [SICILY],CARD; 4 X 5.5;,NONE,MENU IN FRENCH; HANDWRITTEN;,1900-2584,1900-03-26T00:00:00Z,HOTEL DES TEMPLES,,,COMPLETE,2,8
17024,MILLS HOTEL,DAILY MENU,COMMERCIAL,"BLEECKER STREET, NEW YORK",BROADSHEET; 3.75 X 6;,NONE,COMMUTATION TICKETS; TABLES RESERVED FOR LADIES;,1900-2585,1900-03-23T00:00:00Z,MILLS HOTEL,Dollars,$,COMPLETE,2,56
17025,MILLS HOTEL,DAILY MENU,COMMERCIAL,"BLEECKER STREET, NEW YORK",BROADSHEET; 3.75 X 6;,NONE,COMMUTATION TICKETS; TABLES RESERVED FOR LADIES;,1900-2586,1900-03-26T00:00:00Z,MILLS HOTEL,Dollars,$,COMPLETE,2,55
17026,MILLS HOTEL,DAILY MENU,COMMERCIAL,"BLEECKER STREET, NEW YORK",BROADSHEET; 3.75 X 6;,NONE,COMMUTATION TICKETS; TABLES RESERVED FOR LADIES;,1900-2587,1900-03-28T00:00:00Z,MILLS HOTEL,,,COMPLETE,2,59
17027,MILLS HOTEL,DAILY MENU,COMMERCIAL,"BLEECKER STREET, NEW YORK",BROADSHEET; 3.75 X 6;,NONE,COMMUTATION TICKETS; TABLES RESERVED FOR LADIES;,1900-2588,1900-03-27T00:00:00Z,MILLS HOTEL,,,COMPLETE,2,56
17028,HOTEL DES TEMPLES,DINNER,COMMERCIAL,GIRGENTI [SICILY],CARD; 4 X 5.5;,NONE,MENU IN FRENCH; HANDWRITTEN;,1900-2589,1900-03-27T00:00:00Z,HOTEL DES TEMPLES,,,COMPLETE,2,8
17029,HOTEL DES TEMPLES,DINNER,COMMERCIAL,GIRGENTI [SICILY],CARD; 4 X 5.5;,NONE,MENU IN FRENCH; HANDWRITTEN;,1900-2590,1900-03-28T00:00:00Z,HOTEL DES TEMPLES,,,COMPLETE,2,10
17032,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.5X6.5;,NONE,"STEAMSHIP LOGO AT TOP OF MENU; PRICED WINE, LIQUOR, TOBACCO LIST ON BACK OF MENU;",1900-2736,1900-04-09T00:00:00Z,CUNARD LINE,,,COMPLETE,2,102
17033,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.5X6.5;,NONE,"STEAMSHIP LOGO AT TOP OF MENU; PRICED WINE, LIQUOR, TOBACCO LIST ON BACK OF MENU;",1900-2737,1900-04-09T00:00:00Z,CUNARD LINE,,,COMPLETE,2,102
17034,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.25X6.5;,NONE,"STEAMSHIP FLAG AT TOP OF MENU; PRICED WINE, LIQUOR & TOBACCO LIST ON OPPOSITE SIDE;",1900-2746,1900-04-10T00:00:00Z,CUNARD LINE,,,COMPLETE,2,93
17037,CUNARD LINE,BREAKFAST,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.25X6.5;,NONE,"STEAMSHIP COMPANY FLAG AT TOP OF MENU; PRICED WINE, LIQUOR, TOBACCO LIST ON BACK OF MENU;",1900-2754,1900-04-11T00:00:00Z,CUNARD LINE,,,COMPLETE,2,96
17038,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.25X6.5;,NONE,"STEAMSHIP COMPANY FLAG AT TOP OF MENU; PRICED WINE, LIQUOR, TOBACCO LIST ON BACK OF MENU;",1900-2755,1900-04-11T00:00:00Z,CUNARD LINE,,,COMPLETE,2,104
17039,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.25X6.5;,NONE,"STEAMSHIP COMPANY FLAG AT TOP OF MENU; PRICED WINE, LIQUOR, TOBACCO LIST ON BACK OF MENU;",1900-2756,1900-04-11T00:00:00Z,CUNARD LINE,,,COMPLETE,2,95
17040,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,CARD; ILLUS; 5.5 X 8;,NONE,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF STEAMSHIP AND TANKER; SUITABLE FOR MAILING;,1900-2759,1900-04-11T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,64
17041,CUNARD LINE,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.5 X 7.25;,NONE,LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2763,1900-04-12T00:00:00Z,CUNARD LINE,,,COMPLETE,2,100
17044,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS CAMPANIA,CARD; ILLUS; COL; 4.5X6.5;,NONE,INCLUDES PRICED WINE LIST ON OTHER SIDE; STEAMSHIP FLAG AT TOP OF MENU;,1900-1120,1900-02-17T00:00:00Z,CUNARD LINE,Shillings,s,COMPLETE,2,116
17046,U.S.M.S. NEW YORK,DINNER,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,NONE,PRICED WINE LIST AND RATES OF EXCHANGE ON BACK; FLAG;,1900-1124,1900-02-17T00:00:00Z,U.S.M.S. NEW YORK,Dollars,$,COMPLETE,2,103
17048,HOTEL MANHATTAN,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; 4.5X7.5;,NONE,ILLUSRATION OF THE SEAL OF NEW YORK CITY(?);,1900-1127,1900-02-17T00:00:00Z,HOTEL MANHATTAN,,,COMPLETE,2,15
17049,CUNARD STEAMSHIP COMPANY LTD.,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,CARD; 4.5 X 6.5;,NONE,"PRICED WINE LIST IN ENGLISH CURRENCY ONLY; ALL BEVERAGES EXCEPT WINE TO BE PAID 'AT THE TIME', WINE BILLS COLLECTED THE DAY BEFORE ARRIVAL;",1900-1129,1900-02-17T00:00:00Z,CUNARD STEAMSHIP COMPANY LTD.,,,COMPLETE,2,89
17050,U.S.M.S. NEW YORK,BREAKFAST,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,NONE,FLAG;,1900-1130,1900-02-18T00:00:00Z,U.S.M.S. NEW YORK,,,COMPLETE,2,31
17051,OCEANIC STEAMSHIP CO.,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SONOMA,CARD; 5.5 X 8.5;,NONE,LOGO;,1901-1434,1901-05-25T00:00:00Z,OCEANIC STEAMSHIP CO.,,,COMPLETE,2,31
17052,OCEANIC STEAMSHIP CO.,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD SONOMA,CARD; 5.5 X 8.5;,NONE,LOGO;,1901-1435,1901-05-25T00:00:00Z,OCEANIC STEAMSHIP CO.,,,COMPLETE,2,37
17053,OCEANIC STEAMSHIP CO.,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,FOLDER; ILLUS; COL; 5.25X7.5;,NONE,"SAILING SHIP, FOOD, GOLDERN GATE ILLUSTRATION; PALE GREEN BACKGROUND; HANDWRITTEN; SECOND CABIN;",1901-1440,1901-05-25T00:00:00Z,OCEANIC STEAMSHIP CO.,,,COMPLETE,4,29
17054,OCEANIC STEAMSHIP CO.,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,FOLDER; ILLUS; COL; 5.25X7.5;,NONE,"SAILING SHIP, FOOD, GOLDERN GATE ILLUSTRATION; PALE GREEN BACKGROUND; HANDWRITTEN; SECOND CABIN;",1901-1441,1901-05-26T00:00:00Z,OCEANIC STEAMSHIP CO.,,,COMPLETE,4,31
17055,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"SS ""KONIGEN LUISE""",CARD; ILLUS; COL; 5X7.5;,NONE,"GERMAN & ENGLISH; ILLUSTRATION OF POLYNESIAN VILLAGE, THATCHED COTTAGES, TROPICAL FOLIAGE, CART; COULD POSSIBLY BE MEAL SERVICE OF ANOTHER CLASS;",1901-1667,1901-06-16T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,27
17056,NORDDEUTSCHERRR LLOYD BREMEN,BREAKFAST,COMMERCIAL,"SS ""FRIEDRICH DER GROSSE""",CARD; ILLUS; COL; 5.25X8,NONE,"GERMAN & ENGLISH; ILLUSTRATION OF HARBOR SCENE, ROCKY SHORELINE; CARD ALSO A POSTCARD;",1901-1668,1901-06-16T00:00:00Z,NORDDEUTSCHERRR LLOYD BREMEN,,,COMPLETE,2,72
